Relative_Compactness,Wall_Area,Roof_Area,Heating_Load,Cooling_Load,Ori_3,Ori_4,Ori_5,GA_0.1,GA_0.25,GA_0.4,GD_1,GD_2,GD_3,GD_4,GD_5,H_7.0
0.98,294.0,110.25,15.55,21.33,False,False,False,False,False,False,False,False,False,False,False,True
0.98,294.0,110.25,15.55,21.33,True,False,False,False,False,False,False,False,False,False,False,True
0.98,294.0,110.25,15.55,21.33,False,True,False,False,False,False,False,False,False,False,False,True
0.98,294.0,110.25,15.55,21.33,False,False,True,False,False,False,False,False,False,False,False,True
0.9,318.5,122.5,20.84,28.28,False,False,False,False,False,False,False,False,False,False,False,True
0.9,318.5,122.5,21.46,25.38,True,False,False,False,False,False,False,False,False,False,False,True
0.9,318.5,122.5,20.71,25.16,False,True,False,False,False,False,False,False,False,False,False,True
0.9,318.5,122.5,19.68,29.6,False,False,True,False,False,False,False,False,False,False,False,True
0.86,294.0,147.0,19.5,27.3,False,False,False,False,False,False,False,False,False,False,False,True
0.86,294.0,147.0,19.95,21.97,True,False,False,False,False,False,False,False,False,False,False,True
0.86,294.0,147.0,19.34,23.49,False,True,False,False,False,False,False,False,False,False,False,True
0.86,294.0,147.0,18.31,27.87,False,False,True,False,False,False,False,False,False,False,False,True
0.82,318.5,147.0,17.05,23.77,False,False,False,False,False,False,False,False,False,False,False,True
0.82,318.5,147.0,17.41,21.46,True,False,False,False,False,False,False,False,False,False,False,True
0.82,318.5,147.0,16.95,21.16,False,True,False,False,False,False,False,False,False,False,False,True
0.82,318.5,147.0,15.98,24.93,False,False,True,False,False,False,False,False,False,False,False,True
0.79,343.0,147.0,28.52,37.73,False,False,False,False,False,False,False,False,False,False,False,True
0.79,343.0,147.0,29.9,31.27,True,False,False,False,False,False,False,False,False,False,False,True
0.79,343.0,147.0,29.63,30.93,False,True,False,False,False,False,False,False,False,False,False,True
0.79,343.0,147.0,28.75,39.44,False,False,True,False,False,False,False,False,False,False,False,True
0.76,416.5,122.5,24.77,29.79,False,False,False,False,False,False,False,False,False,False,False,True
0.76,416.5,122.5,23.93,29.68,True,False,False,False,False,False,False,False,False,False,False,True
0.76,416.5,122.5,24.77,29.79,False,True,False,False,False,False,False,False,False,False,False,True
0.76,416.5,122.5,23.93,29.4,False,False,True,False,False,False,False,False,False,False,False,True
0.74,245.0,220.5,6.07,10.9,False,False,False,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.05,11.19,True,False,False,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.01,10.94,False,True,False,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.04,11.17,False,False,True,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.37,11.27,False,False,False,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.4,11.72,True,False,False,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.366,11.29,False,True,False,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.4,11.67,False,False,True,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.85,11.74,False,False,False,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.79,12.05,True,False,False,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.77,11.73,False,True,False,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.81,11.93,False,False,True,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.18,12.4,False,False,False,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.23,True,False,False,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.4,False,True,False,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.14,False,False,True,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.85,16.78,False,False,False,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.54,16.8,True,False,False,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.77,16.75,False,True,False,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.56,16.67,False,False,True,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.6,12.07,False,False,False,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.49,12.22,True,False,False,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.45,12.08,False,True,False,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.5,12.04,False,False,True,False,False,False,False,False,False,False,False,False
0.98,294.0,110.25,24.58,26.47,False,False,False,True,False,False,True,False,False,False,False,True
0.98,294.0,110.25,24.63,26.37,True,False,False,True,False,False,True,False,False,False,False,True
0.98,294.0,110.25,24.63,26.44,False,True,False,True,False,False,True,False,False,False,False,True
0.98,294.0,110.25,24.59,26.29,False,False,True,True,False,False,True,False,False,False,False,True
0.9,318.5,122.5,29.03,32.92,False,False,False,True,False,False,True,False,False,False,False,True
0.9,318.5,122.5,29.87,29.87,True,False,False,True,False,False,True,False,False,False,False,True
0.9,318.5,122.5,29.14,29.58,False,True,False,True,False,False,True,False,False,False,False,True
0.9,318.5,122.5,28.09,34.33,False,False,True,True,False,False,True,False,False,False,False,True
0.86,294.0,147.0,26.28,30.89,False,False,False,True,False,False,True,False,False,False,False,True
0.86,294.0,147.0,26.91,25.6,True,False,False,True,False,False,True,False,False,False,False,True
0.86,294.0,147.0,26.37,27.03,False,True,False,True,False,False,True,False,False,False,False,True
0.86,294.0,147.0,25.27,31.73,False,False,True,True,False,False,True,False,False,False,False,True
0.82,318.5,147.0,23.53,27.31,False,False,False,True,False,False,True,False,False,False,False,True
0.82,318.5,147.0,24.03,24.91,True,False,False,True,False,False,True,False,False,False,False,True
0.82,318.5,147.0,23.54,24.61,False,True,False,True,False,False,True,False,False,False,False,True
0.82,318.5,147.0,22.58,28.51,False,False,True,True,False,False,True,False,False,False,False,True
0.79,343.0,147.0,35.56,41.68,False,False,False,True,False,False,True,False,False,False,False,True
0.79,343.0,147.0,37.12,35.28,True,False,False,True,False,False,True,False,False,False,False,True
0.79,343.0,147.0,36.9,34.43,False,True,False,True,False,False,True,False,False,False,False,True
0.79,343.0,147.0,35.94,43.33,False,False,True,True,False,False,True,False,False,False,False,True
0.76,416.5,122.5,32.96,33.87,False,False,False,True,False,False,True,False,False,False,False,True
0.76,416.5,122.5,32.12,34.07,True,False,False,True,False,False,True,False,False,False,False,True
0.76,416.5,122.5,32.94,34.14,False,True,False,True,False,False,True,False,False,False,False,True
0.76,416.5,122.5,32.21,33.67,False,False,True,True,False,False,True,False,False,False,False,True
0.74,245.0,220.5,10.36,13.43,False,False,False,True,False,False,True,False,False,False,False,False
0.74,245.0,220.5,10.43,13.71,True,False,False,True,False,False,True,False,False,False,False,False
0.74,245.0,220.5,10.36,13.48,False,True,False,True,False,False,True,False,False,False,False,False
0.74,245.0,220.5,10.39,13.7,False,False,True,True,False,False,True,False,False,False,False,False
0.71,269.5,220.5,10.71,13.8,False,False,False,True,False,False,True,False,False,False,False,False
0.71,269.5,220.5,10.8,14.28,True,False,False,True,False,False,True,False,False,False,False,False
0.71,269.5,220.5,10.7,13.87,False,True,False,True,False,False,True,False,False,False,False,False
0.71,269.5,220.5,10.75,14.27,False,False,True,True,False,False,True,False,False,False,False,False
0.69,294.0,220.5,11.11,14.28,False,False,False,True,False,False,True,False,False,False,False,False
