Relative_Compactness,Wall_Area,Roof_Area,Heating_Load,Cooling_Load,Ori_3,Ori_4,Ori_5,GA_0.1,GA_0.25,GA_0.4,GD_1,GD_2,GD_3,GD_4,GD_5
0.98,294.0,110.25,15.55,21.33,False,False,False,False,False,False,False,False,False,False,False
0.98,294.0,110.25,15.55,21.33,True,False,False,False,False,False,False,False,False,False,False
0.98,294.0,110.25,15.55,21.33,False,True,False,False,False,False,False,False,False,False,False
0.98,294.0,110.25,15.55,21.33,False,False,True,False,False,False,False,False,False,False,False
0.9,318.5,122.5,20.84,28.28,False,False,False,False,False,False,False,False,False,False,False
0.9,318.5,122.5,21.46,25.38,True,False,False,False,False,False,False,False,False,False,False
0.9,318.5,122.5,20.71,25.16,False,True,False,False,False,False,False,False,False,False,False
0.9,318.5,122.5,19.68,29.6,False,False,True,False,False,False,False,False,False,False,False
0.86,294.0,147.0,19.5,27.3,False,False,False,False,False,False,False,False,False,False,False
0.86,294.0,147.0,19.95,21.97,True,False,False,False,False,False,False,False,False,False,False
0.86,294.0,147.0,19.34,23.49,False,True,False,False,False,False,False,False,False,False,False
0.86,294.0,147.0,18.31,27.87,False,False,True,False,False,False,False,False,False,False,False
0.82,318.5,147.0,17.05,23.77,False,False,False,False,False,False,False,False,False,False,False
0.82,318.5,147.0,17.41,21.46,True,False,False,False,False,False,False,False,False,False,False
0.82,318.5,147.0,16.95,21.16,False,True,False,False,False,False,False,False,False,False,False
0.82,318.5,147.0,15.98,24.93,False,False,True,False,False,False,False,False,False,False,False
0.79,343.0,147.0,28.52,37.73,False,False,False,False,False,False,False,False,False,False,False
0.79,343.0,147.0,29.9,31.27,True,False,False,False,False,False,False,False,False,False,False
0.79,343.0,147.0,29.63,30.93,False,True,False,False,False,False,False,False,False,False,False
0.79,343.0,147.0,28.75,39.44,False,False,True,False,False,False,False,False,False,False,False
0.76,416.5,122.5,24.77,29.79,False,False,False,False,False,False,False,False,False,False,False
0.76,416.5,122.5,23.93,29.68,True,False,False,False,False,False,False,False,False,False,False
0.76,416.5,122.5,24.77,29.79,False,True,False,False,False,False,False,False,False,False,False
0.76,416.5,122.5,23.93,29.4,False,False,True,False,False,False,False,False,False,False,False
0.98,294.0,110.25,24.58,26.47,False,False,False,True,False,False,True,False,False,False,False
0.98,294.0,110.25,24.63,26.37,True,False,False,True,False,False,True,False,False,False,False
0.98,294.0,110.25,24.63,26.44,False,True,False,True,False,False,True,False,False,False,False
0.98,294.0,110.25,24.59,26.29,False,False,True,True,False,False,True,False,False,False,False
0.9,318.5,122.5,29.03,32.92,False,False,False,True,False,False,True,False,False,False,False
0.9,318.5,122.5,29.87,29.87,True,False,False,True,False,False,True,False,False,False,False
0.9,318.5,122.5,29.14,29.58,False,True,False,True,False,False,True,False,False,False,False
0.9,318.5,122.5,28.09,34.33,False,False,True,True,False,False,True,False,False,False,False
0.86,294.0,147.0,26.28,30.89,False,False,False,True,False,False,True,False,False,False,False
0.86,294.0,147.0,26.91,25.6,True,False,False,True,False,False,True,False,False,False,False
0.86,294.0,147.0,26.37,27.03,False,True,False,True,False,False,True,False,False,False,False
0.86,294.0,147.0,25.27,31.73,False,False,True,True,False,False,True,False,False,False,False
0.82,318.5,147.0,23.53,27.31,False,False,False,True,False,False,True,False,False,False,False
0.82,318.5,147.0,24.03,24.91,True,False,False,True,False,False,True,False,False,False,False
0.82,318.5,147.0,23.54,24.61,False,True,False,True,False,False,True,False,False,False,False
0.82,318.5,147.0,22.58,28.51,False,False,True,True,False,False,True,False,False,False,False
0.79,343.0,147.0,35.56,41.68,False,False,False,True,False,False,True,False,False,False,False
0.79,343.0,147.0,37.12,35.28,True,False,False,True,False,False,True,False,False,False,False
0.79,343.0,147.0,36.9,34.43,False,True,False,True,False,False,True,False,False,False,False
0.79,343.0,147.0,35.94,43.33,False,False,True,True,False,False,True,False,False,False,False
0.76,416.5,122.5,32.96,33.87,False,False,False,True,False,False,True,False,False,False,False
0.76,416.5,122.5,32.12,34.07,True,False,False,True,False,False,True,False,False,False,False
0.76,416.5,122.5,32.94,34.14,False,True,False,True,False,False,True,False,False,False,False
0.76,416.5,122.5,32.21,33.67,False,False,True,True,False,False,True,False,False,False,False
0.98,294.0,110.25,24.29,25.95,False,False,False,True,False,False,False,True,False,False,False
0.98,294.0,110.25,24.31,25.63,True,False,False,True,False,False,False,True,False,False,False
0.98,294.0,110.25,24.13,26.13,False,True,False,True,False,False,False,True,False,False,False
0.98,294.0,110.25,24.25,25.89,False,False,True,True,False,False,False,True,False,False,False
0.9,318.5,122.5,28.88,32.54,False,False,False,True,False,False,False,True,False,False,False
0.9,318.5,122.5,29.68,29.44,True,False,False,True,False,False,False,True,False,False,False
0.9,318.5,122.5,28.83,29.36,False,True,False,True,False,False,False,True,False,False,False
0.9,318.5,122.5,27.9,34.2,False,False,True,True,False,False,False,True,False,False,False
0.86,294.0,147.0,26.48,30.91,False,False,False,True,False,False,False,True,False,False,False
0.86,294.0,147.0,27.02,25.63,True,False,False,True,False,False,False,True,False,False,False
0.86,294.0,147.0,26.33,27.36,False,True,False,True,False,False,False,True,False,False,False
0.86,294.0,147.0,25.36,31.9,False,False,True,True,False,False,False,True,False,False,False
0.82,318.5,147.0,23.75,27.38,False,False,False,True,False,False,False,True,False,False,False
0.82,318.5,147.0,24.23,25.02,True,False,False,True,False,False,False,True,False,False,False
0.82,318.5,147.0,23.67,24.8,False,True,False,True,False,False,False,True,False,False,False
0.82,318.5,147.0,22.79,28.79,False,False,True,True,False,False,False,True,False,False,False
0.79,343.0,147.0,35.65,41.07,False,False,False,True,False,False,False,True,False,False,False
0.79,343.0,147.0,37.26,34.62,True,False,False,True,False,False,False,True,False,False,False
0.79,343.0,147.0,36.97,33.87,False,True,False,True,False,False,False,True,False,False,False
0.79,343.0,147.0,36.03,42.86,False,False,True,True,False,False,False,True,False,False,False
0.76,416.5,122.5,33.16,33.91,False,False,False,True,False,False,False,True,False,False,False
0.76,416.5,122.5,32.4,34.07,True,False,False,True,False,False,False,True,False,False,False
